HaSu-_-;18:9;w00t;Kristall;714732038;crystal
Blubberblase;1830:2;w00t;Metall;1762428491;metal
amunra;36:7;-AsB-;Asteroiden;11800;roids
Terr0rSandmann;18:2;w00t;Kristall Extraktoren;14082;ex_crystal
Terr0rSandmann;18:2;w00t;Metall Extraktoren;25574;ex_metal
dschensi;251:7;NL;Scanverstärker;645010;amp
Terr0rSandmann;18:2;w00t;Scanblocker;400011;blocker
ToTalCranK;666:1;w00t;Jäger;155000;s1
HaSu-_-;18:9;w00t;Bomber;300000;s2
HaSu-_-;18:9;w00t;Fregatte;99945;s3
Exitus;251:10;NL;Zerstörer;22500;s4
HaSu-_-;18:9;w00t;Kreuzer;7000;s5
lore;18:1;w00t;Schlachtschiff;5423;s6
CHaRLYWaXX;251:2;NL;Träger;10000;s7
profsnake;18:6;w00t;Kaperschiff;544042;s9
Troubley;18:4;w00t;Schutzschiff;477415;s10
Chicken;2013:4;JoKerZ;Rubium;83702;g1
sabbeL.is.back;731:8;JoKerZ;Pulsar;40247;g2
Attentat;403:3;-KiBO-;Coon;5000;g3
Laran_auf_Geschwindigkeit;82:7;[D]ominion;Centurion;2000;g4
Kartoffelsalat;403:2;-KiBO-;Horus;595281;g5
