1;Nutellawurstbrot;2:2;;4770
2;Runie;2:1;;3552
3;NajjaN;2:4;;2032
4;DamoN;2:7;;1650
5;Drecksbasha;2:3;;1340
6;Heidie;2:6;;1115
7;Neo;20:1;;666
8;LordENZONoF;11:2;;659
9;SleepyGodes;20:2;;636
10;evuel;1:3;;622
11;Smile;20:4;;611
12;fanat1NoF;11:4;;601
13;chill0;2:5;;586
14;Hiob;1:1;;511
15;raupi;11:6;;510
16;NeKrOnOxNoF;11:1;;500
17;Ramb0;20:3;;428
18;whitetiggerMC;11:7;;399
19;mokkel;6:2;;364
20;Lucifer;1:2;;347
21;LorenorZorroNoF;11:5;;332
22;EzyNOF;11:3;;315
23;KingPhilipp;1:6;;303
24;Busta;1:4;;295
25;MoFighter;17:1;;265
26;caliban;3:11;;257
27;NaSI;3:2;;256
28;9Schmitti6;17:8;;250
29;GhOsTrAiDeRMC;11:8;;224
30;JamesT;16:2;;203
31;BrainBugy;12:1;;199
32;Fr34kst4;1:5;;153
33;kuddeldaddeldooo;12:3;;149
34;Kali;6:3;;132
35;DieM;15:3;;131
36;secondmatrix;3:9;;128
37;Equalizer;5:2;;114
38;NightmareMC;17:3;;114
39;Hunter;5:1;;113
40;Fgenz;14:3;;108
41;Alphaaa;12:4;;105
42;xchrisx;6:1;;92
43;W4Ck31D4Ck31;12:2;;90
44;VorteX;8:6;;70
45;Burloc;9:1;;70
46;CorTez;14:1;;69
47;Jonny;17:4;;60
48;moose;4:2;;57
49;pe7e;14:2;;54
50;silencer;18:1;;54
51;gReeL;3:14;;42
52;Kampfgulasch;9:2;;36
53;raLf;4:1;;33
54;V4nilla;13:2;;31
55;cKone;19:1;;9
56;KinGDooM;13:1;;9
57;Ha6aS4N;16:1;;5
58;AvenGER;8:2;;5
59;HoTAvenger;8:4;;0
60;AKJonny;18:2;;0
61;GUNNAR;3:15;;0
62;Annhilator;3:4;;0
63;Commodus;10:1;;0
64;saubaeer;3:10;;0
65;SpHinX26;8:5;;0
66;HansDampf;18:6;;0
67;SpHinX;3:6;;0
68;cYkr0;17:6;;0
69;Schmitti;3:7;;0
70;Marok;3:13;;0
71;Ownage;3:8;;0
72;Enfield;3:3;;0
