DamoN;2:7;;Kristall;55131270;crystal
gReeL;3:14;;Metall;57371906;metal
SleepyGodes;20:2;;Asteroiden;3168;roids
Nutellawurstbrot;2:2;;Kristall Extraktoren;2626;ex_crystal
Nutellawurstbrot;2:2;;Metall Extraktoren;4770;ex_metal
Nutellawurstbrot;2:2;;Scanverstärker;2500;amp
Drecksbasha;2:3;;Scanblocker;4764;blocker
Busta;1:4;;Jäger;33203;s1
raupi;11:6;;Bomber;12734;s2
evuel;1:3;;Fregatte;28037;s3
NajjaN;2:4;;Zerstörer;5563;s4
Heidie;2:6;;Kreuzer;4543;s5
Kampfgulasch;9:2;;Schlachtschiff;2166;s6
NajjaN;2:4;;Träger;5121;s7
Equalizer;5:2;;Kaperschiff;360422;s9
xchrisx;6:1;;Schutzschiff;60616;s10
LordENZONoF;11:2;;Rubium;38979;g1
LordENZONoF;11:2;;Pulsar;7499;g2
LordENZONoF;11:2;;Coon;3000;g3
LordENZONoF;11:2;;Centurion;1025;g4
whitetiggerMC;11:7;;Horus;112413;g5
