Raz;14:1;;Kristall;128040250;crystal
c1d;14:3;;Metall;138407951;metal
Riccardo;7:5;;Asteroiden;1000;roids
nö;9:8;-KiBO-;Kristall Extraktoren;2730;ex_crystal
SuBi2;7:7;;Metall Extraktoren;4000;ex_metal
Riccardo;7:5;;Scanverstärker;79666;amp
AttilaDerHildman;10:3;N1ce;Scanblocker;38988;blocker
Meister;10:1;N1ce;Jäger;15335;s1
Plattfuss;9:6;-KiBO-;Bomber;35000;s2
Shrimp;11:5;:-|;Fregatte;11400;s3
Comeback;7:8;;Zerstörer;2710;s4
Daki;11:7;:-|;Kreuzer;1140;s5
Pestiii;11:8;:-|;Schlachtschiff;800;s6
Sweeper;9:1;-KiBO-;Träger;1775;s7
Laran;11:6;:-|;Kaperschiff;160000;s9
Mara;11:1;:-|;Schutzschiff;185337;s10
Ash;9:2;-KiBO-;Rubium;40000;g1
Meister;10:1;N1ce;Pulsar;4000;g2
Ash;9:2;-KiBO-;Coon;1000;g3
Ash;9:2;-KiBO-;Centurion;400;g4
Metoo;7:4;;Horus;57472;g5
