.:KriegsRudihGTI:.;338:4;MFC;Kristall;854859431;crystal
KroKI.:ballert:.auf.:.Malle;54:5;.: BLM :.;Metall;549215675;metal
LeSaft.fap.fap.fap;54:9;.: BLM :.;Asteroiden;45559;roids
ToTerHaSu;49:2;[ToT];Kristall Extraktoren;8115;ex_crystal
ToTerHaSu;49:2;[ToT];Metall Extraktoren;13824;ex_metal
ToTalCranK;49:3;[ToT];Scanverstärker;256086;amp
-.-;75:7;-KiBO-;Scanblocker;279727;blocker
mucK;456:5;-rp-;Jäger;167001;s1
Storch_der_Strolch;322:10;[-xD-];Bomber;132312;s2
umpfXbringtXeuchXliebe;75:4;-KiBO-;Fregatte;53677;s3
mAx.LoVeS.NiNa;320:5;90-60-90;Zerstörer;13601;s4
neo;49:4;[ToT];Kreuzer;7031;s5
gus.hansen;14:2;die.Bösen;Schlachtschiff;3290;s6
Morlock54;1830:4;-pec-;Träger;5000;s7
Luckystr1Ker;322:1;[-xD-];Kaperschiff;623538;s9
MrtN;158:5;]cB[;Schutzschiff;365000;s10
Fraser-is-INSANE;14:8;die.Bösen;Rubium;100000;g1
666Devil;7:1;.:3ST:.;Pulsar;22850;g2
skilly;14:10;die.Bösen;Coon;3213;g3
Sweeper;75:1;-KiBO-;Centurion;1659;g4
Ranger;7:3;.:3ST:.;Horus;367446;g5
